iter	Passed	Remaining
823	24900	5318
824	24934	5289
825	24967	5259
826	25005	5230
827	25038	5201
828	25063	5169
829	25094	5139
830	25125	5109
831	25163	5081
832	25194	5050
833	25223	5020
834	25250	4989
835	25274	4958
836	25302	4927
837	25335	4897
838	25363	4867
839	25392	4836
840	25424	4806
841	25453	4776
842	25491	4747
843	25517	4716
844	25545	4685
845	25569	4654
846	25602	4624
847	25629	4593
848	25654	4562
849	25682	4532
850	25704	4500
851	25732	4469
852	25759	4439
853	25786	4408
854	25814	4377
855	25854	4349
856	25885	4319
857	25916	4289
858	25942	4258
859	25971	4227
860	26006	4198
861	26039	4168
862	26065	4137
863	26095	4107
864	26124	4077
865	26155	4047
866	26189	4017
867	26218	3987
868	26252	3957
869	26293	3928
870	26332	3899
871	26365	3870
872	26411	3842
873	26445	3812
874	26479	3782
875	26512	3752
876	26550	3723
877	26580	3693
878	26616	3663
879	26655	3634
880	26686	3604
881	26714	3574
882	26749	3544
883	26789	3515
884	26825	3485
885	26867	3456
886	26898	3426
887	26933	3396
888	26971	3367
889	27008	3338
890	27039	3307
891	27080	3278
892	27120	3249
893	27156	3219
894	27190	3189
895	27220	3159
896	27251	3129
897	27298	3100
898	27335	3071
899	27368	3040
900	27399	3010
901	27435	2980
902	27468	2950
903	27488	2919
904	27516	2888
905	27545	2857
906	27575	2827
907	27605	2797
908	27633	2766
909	27663	2735
910	27694	2705
911	27726	2675
912	27757	2645
913	27791	2614
914	27818	2584
915	27844	2553
916	27873	2522
917	27902	2492
918	27931	2461
919	27959	2431
920	27985	2400
921	28012	2369
922	28041	2339
923	28069	2308
924	28097	2278
925	28124	2247
926	28152	2216
927	28181	2186
928	28206	2155
929	28229	2124
930	28254	2094
931	28283	2063
932	28317	2033
933	28345	2003
934	28371	1972
935	28399	1941
936	28425	1911
937	28450	1880
938	28477	1849
939	28508	1819
940	28534	1789
941	28562	1758
942	28588	1728
943	28616	1697
944	28641	1666
945	28667	1636
946	28692	1605
947	28724	1575
948	28751	1545
949	28781	1514
950	28811	1484
951	28846	1454
952	28879	1424
953	28906	1393
